observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	Budflush2	SLA	CM	Shoots3	Syllep1	Circum2	Height2	NM	REP	Height1	BS_date	Circum1	Delta13C
661300403	gnpis.lot:'661300403'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1VLQ0lNMA==	661300403	661300403	2004	2004-01-12T01:00:00Z										304.39999999999998			
661300403	gnpis.lot:'661300403'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1VLQ0lNMA==	661300403	661300403	2004	2004-12-18T01:00:00Z							602.9						
661300403	gnpis.lot:'661300403'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1VLQ0lNMA==	661300403	661300403	2004	2004-04-01T02:00:00Z								21.923999999999999					
661300403	gnpis.lot:'661300403'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1VLQ0lNMA==	661300403	661300403	2004	2004-04-01T02:00:00Z		161.84											
661300403	gnpis.lot:'661300403'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1VLQ0lNMA==	661300403	661300403	2004	2004-01-12T01:00:00Z					22.33								
661300403	gnpis.lot:'661300403'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1VLQ0lNMA==	661300403	661300403	2004	2004-04-01T02:00:00Z									6				
661300403	gnpis.lot:'661300403'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1VLQ0lNMA==	661300403	661300403	2005	2015-09-01T02:00:00Z											258.82993923561003		
661300403	gnpis.lot:'661300403'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1VLQ0lNMA==	661300403	661300403	2005	2005-05-12T02:00:00Z				7.1182240000000006									
661300403	gnpis.lot:'661300403'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1VLQ0lNMA==	661300403	661300403	2005	2005-05-12T02:00:00Z									6				
661300386	gnpis.lot:'661300386'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pYR0hOMQ==	661300386	661300386	2004	2004-03-21T01:00:00Z	91.666838906538004												
661300386	gnpis.lot:'661300386'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pYR0hOMQ==	661300386	661300386	2004	2004-01-12T01:00:00Z												47.90563258830791	
661300386	gnpis.lot:'661300386'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pYR0hOMQ==	661300386	661300386	2004	2004-12-18T01:00:00Z						115.35							
661300386	gnpis.lot:'661300386'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pYR0hOMQ==	661300386	661300386	2004	2004-04-01T02:00:00Z			454.38										
661300386	gnpis.lot:'661300386'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pYR0hOMQ==	661300386	661300386	2004	2004-04-01T02:00:00Z													21.888000000000002
661300386	gnpis.lot:'661300386'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pYR0hOMQ==	661300386	661300386	2004	2004-01-12T01:00:00Z										316.39999999999998			
